"decimalLongitude","decimalLatitude","species"
5280952.45138593,4579674.91960298,"Campanula latifolia"
4436426.03234709,2780815.9271797,"Campanula latifolia"
4631799.27054047,3579359.3817082,"Campanula latifolia"
5055877.71648198,4333050.13044579,"Campanula latifolia"
4670498.11608876,4089318.56395123,"Campanula latifolia"
4574969.47159889,3866257.29153634,"Campanula latifolia"
5125770.93654165,4573095.10452196,"Campanula latifolia"
4688305.02555295,3081985.04321134,"Campanula latifolia"
4324928.02548892,3648631.15989771,"Campanula latifolia"
5397981.43290924,4558110.32749223,"Campanula latifolia"
4643156.13770026,4115464.44612533,"Campanula latifolia"
4422121.68796038,3611811.92467046,"Campanula latifolia"
4468637.49878532,3664962.83819335,"Campanula latifolia"
4424366.10859442,3626199.74682232,"Campanula latifolia"
4467547.00740269,4479357.04561919,"Campanula latifolia"
4329341.48660776,3662530.70452272,"Campanula latifolia"
4504566.17140909,3704529.99683643,"Campanula latifolia"
5145083.40126805,4220335.0662865,"Campanula latifolia"
5146320.37789889,4238918.5261964,"Campanula latifolia"
4952748.25131863,4313989.81754747,"Campanula latifolia"
4249813.97720974,3747207.68438974,"Campanula latifolia"
4400838.07577033,2718615.51343035,"Campanula latifolia"
5242843.45066969,3377695.81283659,"Campanula latifolia"
4987832.68298416,4207681.68583788,"Campanula latifolia"
5134524.44962655,4212893.07710888,"Campanula latifolia"
4333758.40298596,2826235.64711619,"Campanula latifolia"
5102110.20401535,4291930.62977059,"Campanula latifolia"
4284036.72911569,3582103.148956,"Campanula latifolia"
4890625.29061713,2981485.28778698,"Campanula latifolia"
5077753.18879019,4358167.98322546,"Campanula latifolia"
5078967.46425007,4202521.57448164,"Campanula latifolia"
5070984.02035137,4329277.19734897,"Campanula latifolia"
4318735.22748802,3624815.79999193,"Campanula latifolia"
5099461.95726994,4289465.5084633,"Campanula latifolia"
4773570.08610829,3040638.90823037,"Campanula latifolia"
4316523.47909942,3797079.39546549,"Campanula latifolia"
5110933.88585479,4213760.59124584,"Campanula latifolia"
5148181.21246051,4230104.94159631,"Campanula latifolia"
4580020.89334263,3632148.41913843,"Campanula latifolia"
4409689.42382803,2729062.76722915,"Campanula latifolia"
5139110.96220216,4218061.73501841,"Campanula latifolia"
5252898.04518141,3646535.867109,"Campanula latifolia"
4354929.3283134,3551961.69248945,"Campanula latifolia"
4553587.4190197,3673694.60010985,"Campanula latifolia"
4250797.70401268,3573385.88011984,"Campanula latifolia"
5131018.94815043,3666484.9966234,"Campanula latifolia"
4351932.01924428,2700942.14343266,"Campanula latifolia"
4307834.61202604,3641066.82200863,"Campanula latifolia"
4298631.26425688,3595815.09925088,"Campanula latifolia"
4617698.67593063,4164598.22091458,"Campanula latifolia"
5032082.371626,4197946.28551625,"Campanula latifolia"
5058738.95484953,4340020.00696799,"Campanula latifolia"
5047369.02261721,4340969.02681342,"Campanula latifolia"
4989394.92476759,4205794.34671898,"Campanula latifolia"
4692072.87662408,4076001.3090612,"Campanula latifolia"
4647518.02758894,2997591.59356017,"Campanula latifolia"
4949409.94518602,4453714.62154022,"Campanula latifolia"
5126894.0574536,4454763.04468475,"Campanula latifolia"
